------Generation 0------
Rule 85: 1141132911, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 86: 4d21197742, Class:  2, CF:0.923132, Len: 10, Fitness_tra: -3
Rule 87: 2c7b252811, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 88: 111161714b, Class:  4, CF:0.890787, Len: 10, Fitness_tra: 523
Rule 89: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 1d1129bc11, Class:  1, CF:0.289581, Len: 10, Fitness_tra: 0
Rule 91: 1241357791, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: 29775317b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 93: 44b11eb121, Class:  2, CF:0.989578, Len: 10, Fitness_tra: -1062
Rule 94: d020d40240, Class:  3, CF:  1, Len:  6, Fitness_tra: 5
Rule 95: 7218a3b227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 1272d64542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 81442154c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1724234b22, Class:  4, CF:0.0681677, Len: 10, Fitness_tra: 0
Rule 99: 27925111b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 8114627791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:99.3639
------Result------
Miss_rate(tra)	:99.3639
Miss_rate(tst)	:96.895
ARL				:9.94805

------Generation 1------
Rule  1: 7b772517b1, Class:  2, CF:0.969439, Len: 10, Fitness_tra: 966
Rule  2: 111161714b, Class:  4, CF:0.890787, Len: 10, Fitness_tra: -1164
Rule  3: 18b25d171b, Class:  1, CF:0.686993, Len: 10, Fitness_tra: 0
Rule  4: 44b12e7221, Class:  2, CF:0.998007, Len: 10, Fitness_tra: 10
Rule  5: b1b1b5b722, Class:  2, CF:0.879636, Len: 10, Fitness_tra: 147
Rule  6: 4411164422, Class:  4, CF:0.999646, Len: 10, Fitness_tra: 44
Rule  7: 4941214458, Class:  2, CF:  1, Len: 10, Fitness_tra: 91
Rule  8: 11b4af1bbb, Class:  4, CF:0.999431, Len: 10, Fitness_tra: 51
Rule  9: 1e42834111, Class:  1, CF:0.9939, Len: 10, Fitness_tra: 29
Rule 10: 7521517111, Class:  1, CF:0.685969, Len: 10, Fitness_tra: 0
